State,PopulationCount,Diabetes%,Long & Lat,Obesity %,Overweight %,In-Active %,Muscle Strengthening %,Low Aerobics %,High Aerobics %,Strength & Conditioning %,Low Veggies Consumption %,Low Fruit Consumption %
Missouri,4233803.0,10.469877719865568,"(38.635790776000476, -92.56630005299968)",30.696428974041034,35.162881024127266,27.134043766412397,26.09009630860064,49.592089672453916,31.276662914820992,17.66644329803928,24.04133857570444,43.136154295020866
Montana,512871.0,6.98862345502085,"(47.06652897200047, -109.42442064499971)",24.802585962985148,36.679180867488114,22.23641073375057,30.97134373893383,57.022577194262105,38.26753538420638,22.825057068832717,20.425042601286737,38.40792577319589
Nebraska,2001998.0,9.394704839864977,"(41.6410409880005, -99.36572062299967)",29.71077838504325,36.31716919794173,24.141514909437518,28.421741603828092,50.15531520880207,29.819631183115515,19.387240366002263,24.69342718897624,39.805203677729175
Nevada,4121634.0,10.139990984158224,"(39.493240390000494, -117.07184056399967)",25.861856808939837,36.8771772036328,23.100898865754644,31.775953375555854,53.78210305058496,34.79239348370928,22.902126409445728,21.26986811375188,36.027023896117896
New Hampshire,588177.0,9.016673042298489,"(43.65595011300047, -71.50036091999965)",26.89107357041192,35.92123109080149,21.490099190146516,31.0037742769637,56.596989941450225,35.807160656975654,22.471135323061727,16.867854327605233,31.958827339573407
New Jersey,3535602.0,14.008179257733193,"(40.13057004800049, -74.27369128799967)",25.4475741461834,37.106371801344544,25.600845191517877,31.43474036494257,51.4341432200819,32.026153090095384,21.852829835621954,21.435700426484754,34.348318952277225
New Mexico,2396638.0,8.891931739378254,"(34.52088095200048, -106.24058098499967)",26.91916757985807,36.14204050969637,23.364435996991443,31.867663380322288,54.70133269975875,35.16811069585075,22.858941725594878,21.06516629597821,39.06308371503472
New York,27889082.0,11.122676529833484,"(42.82700103200045, -75.54397042699964)",25.10085495460608,35.40671137472989,26.59043906565053,29.94872962189357,48.830998812842644,30.021995522779363,20.247143861261677,21.859646731154317,34.845632888706824
North Carolina,8394827.0,9.780367445332713,"(35.466220975000454, -79.15925046299964)",29.497386294038023,36.202139183504634,25.758210569749426,27.60807180179767,47.90271150480747,28.693485652114767,18.466007226123114,21.624640975236844,41.49553740332488
North Dakota,316647.0,7.466225481372002,"(47.47531977900047, -100.11842104899966)",30.67966050581965,36.64331736290762,25.394285988505363,26.63532688302759,46.473590668123926,26.51267520180986,16.909209670257038,26.762539094525238,39.21262713471539
